49,오늘의 주식 (이슈를 읽으면 종목이 보인다),효라클(김성효),16200,토네이도
50,주식 네 이놈 2: 기법편 (오를 수밖에 없는 차트가 있다),문제룡,16500,지서연
51,태쏘의 주식투자바이블 (직장인과 전업투자자를 위한 실전주식투자 비법서),태쏘,24300,가이아의어깨
52,찰스 슈왑 투자 불변의 법칙 (주식투자와 대중화를 이끈 찰스 슈왑의 투자 원칙과 철학),찰스 슈왑,20700,비즈니스북스
53,실전투자의 비밀 (실전수익률 투자대회 8회 연속 수상자의),김형준,0,이레미디어
54,초보자를 위한 실전투자의 비밀 세트 (초보탈출 투자실력 업그레이드),김형준,0,이레미디어
55,실전투자의 비밀 (실전투자대회 8회 연속 수상자의),김형준,0,이레미디어
56,나는 카지노에서 투자를 배웠다,최성락,15120,페이퍼로드
57,"미국주식 스몰캡 인사이드 2021(큰글씨책) (언택트 시대, 수익률의 신화가 될 성장주를 찾아라!)",안석훈^김동식^강범준^최아원,29250,예문
58,트렌드를 알면 지금 사야 할 미국 주식이 보인다 (최고의 애널리스트가 미국 현지에서 분석한 미국 산업 트렌드와 주목해야 하는 기업 32),최중혁,16920,한즈미디어(한스미디어)
59,ROE 분석 (이 기업은 얼마나 투자해 얼마나 버는 걸까?),고미야 가즈요시,13500,이콘
60,주식의 심리 (돈이 되는 인문학),전인구,12150,살림
61,"주식  매매하는 법 (주식투자위 영원한 고전, 무삭제 완역 출간)",제시 리버모어,0,이레미디어
62,실전 차트 매매 기법,조용,25200,이레미디어
63,피라미딩 전략 (제시 리버모어 매매기법 완벽 해설),제시 리버모어,0,이레미디어
64,메타버스 팬마인 주식투자,팬마인 편집부,16000,팬마인
65,한경무크 엄마 아빠 함께하는 슬기로운 주식생활 (엄마 아빠 함께하는),한경 경제교육연구소 기획 제작팀,12600,한국경제신문
66,업계지도(2020~2021) (투자 고수들의 업종별 재무제표 독해법),한국비즈니스정보,6600,어바웃어북
67,주식은 어떻게 움직이는가 (20년 연속 초보 투자자의 바이블),마이클 버켓,14400,더난출판사
68,"ESG 투자의 시대 (앞으로 10년, 미래를 지배할 투자와 경영)",송주형^최진석^전홍민,6600,북오션
69,워런 버핏처럼 적정주가 구하는 법,이은원,16200,부크온
70,"주식, 사자처럼 투자하고 거북이처럼 간다 (이것만 미리 알았어도 좋았을 것들)",이헌상,14400,타래
71,구루들의 투자법 (대가들이 말하는 가치투자의 정석),찰리 티안,9720,이콘
72,"주식 시장의 속성 (시장을 알아야 투자가 보인다 | 주식투자의 첫걸음, 시장을 이해하는것부터)",이창훈,13500,지식노마드
73,모르면 호구 되는 주식상식 (난생 처음 주식창을 열기 전에 꼭 알아야 할 최소한의 주식상식 떠먹여드림),곽세연,14850,한스미디어
74,초보자도 고수되는 가상화폐 완전정복 (실전에서 바로 써먹는 가상화폐 실전 바이블),박대호(크맨)^황동규^찰리,19800,북오션
75,한 권으로 끝내는 정치테마주 (정치는 어떻게 주가를 움직이는가?),최기운^이창민^김종혁,29700,북오션
76,나는 거인의 어깨 위에서 주식투자를 한다 (아무리 시장이 혼란스러워도 흔들리지 않고 상승차트를 따라 황소처럼 앞으로 나아가라!),저스틴 월쉬,14400,나비의활주로
77,처음 해외주식 (종목 고르기부터 매매 전략까지),앙찌(장은아),14400,이콘
78,명품 투자기법으로 매월 월급만들기 노하우 33 (국내 최초 연상법으로 외우는 33가지 기법),김종철,22500,좋은땅
79,월급쟁이 재테크 상식사전 (회사일이 바빠서 재테크는 뒷전인 당신에게),우용표,11700,길벗
80,"한눈에 쏙쏙 주린이 주식 과외하기 (주식을 하려면 꼭 알아야 할 종목 선택, 매도&매수 타이밍, 기업 분석 등을 실전 사례로 배운다!)",장우진,14850,경향BP
81,미국주식 S&P 500 가이드북 (당신이 잠든 사이 돈 벌어 주는),인베스테인먼트,28800,무한
